what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.402.v200911251542,"org.eclipse.wst.wsdl.validation",1359345612299
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.debug.ui",1359345612299
stopped,bundle,org.eclipse.wst.xsl.ui,1.0.100.v200907172129,"org.eclipse.wst.xsl.ui",1359345612299
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.0.0.v200904240436,"org.eclipse.wst.xml.xpath.ui",1359345612299
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1359345612299
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.launching",1359345612299
stopped,bundle,org.eclipse.wst.xsl.launching,1.0.0.v200904241348,"org.eclipse.wst.xsl.launching",1359345612299
stopped,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1359345612300
stopped,bundle,org.pi4soa.scenario.designer,3.0.0.v201003031452,"org.pi4soa.scenario.designer",1359345612300
stopped,bundle,org.pi4soa.designer,3.0.0.v201003031452,"org.pi4soa.designer",1359345612300
stopped,bundle,org.pi4soa.scenario,3.0.0.v201003031452,"org.pi4soa.scenario",1359345612300
stopped,bundle,org.pi4soa.service,3.0.0.v201003031452,"org.pi4soa.service",1359345612300
stopped,bundle,org.pi4soa.cdl,3.0.0.v201003031452,"org.pi4soa.cdl",1359345612300
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.1.v201001191820,"org.eclipse.datatools.enablement.oda.xml.ui",1359345612300
stopped,bundle,org.eclipse.datatools.enablement.oda.xml,1.2.1.v201001151620,"org.eclipse.datatools.enablement.oda.xml",1359345612300
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.0.v20090525,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1359345612300
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.6.v20100203,"org.eclipse.jst.jsf.facesconfig.ui",1359345612300
stopped,bundle,org.jboss.tools.maven.seam,1.0.1.v201006011046R-H111-GA,"org.jboss.tools.maven.seam",1359345612300
stopped,bundle,org.jboss.tools.seam.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.ui",1359345612300
stopped,bundle,org.jboss.tools.seam.core,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.core",1359345612300
stopped,bundle,org.eclipse.jst.jsf.ui,1.2.3.v201001271707,"org.eclipse.jst.jsf.ui",1359345612300
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.4.v20100203,"org.eclipse.jst.pagedesigner.jsf.ui",1359345612300
stopped,bundle,org.eclipse.jst.pagedesigner,1.2.3.v20100211,"org.eclipse.jst.pagedesigner",1359345612300
stopped,bundle,org.eclipse.jst.jsf.core,1.2.5.v201001271707,"org.eclipse.jst.jsf.core",1359345612300
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.1.1.v20081209,"org.eclipse.jst.jsf.common.ui",1359345612300
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.1.205.v201002101327,"org.eclipse.jst.jsf.standard.tagsupport",1359345612301
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.1.3.v201002111131,"org.eclipse.jst.pagedesigner.jsp.core",1359345612301
stopped,bundle,org.eclipse.jst.jsf.common,1.1.9.v201001271707,"org.eclipse.jst.jsf.common",1359345612301
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.200.v200904140255,"org.eclipse.wst.jsdt.web.support.jsp",1359345612301
stopped,bundle,org.jboss.tools.jst.web.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.ui",1359345612301
stopped,bundle,org.jboss.tools.jst.jsp,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.jsp",1359345612301
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1359345612301
stopped,bundle,org.jboss.tools.jsf,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf",1359345612301
stopped,bundle,org.jboss.tools.jst.web.kb,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.kb",1359345612301
stopped,bundle,org.jboss.tools.common.el.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.el.ui",1359345612301
stopped,bundle,org.jboss.tools.vpe.resref,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.vpe.resref",1359345612301
stopped,bundle,org.jboss.tools.common.resref.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.resref.ui",1359345612302
stopped,bundle,org.jboss.tools.common.model.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.model.ui",1359345612302
stopped,bundle,org.jboss.tools.common.text.ext,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.text.ext",1359345612302
stopped,bundle,org.jboss.tools.seam.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.xml",1359345612302
stopped,bundle,org.jboss.tools.jst.web,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web",1359345612302
stopped,bundle,org.eclipse.jst.jsp.core,1.2.204.v201001270045,"org.eclipse.jst.jsp.core",1359345612302
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.web.ui",1359345612302
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.ui",1359345612302
stopped,bundle,org.eclipse.jpt.ui,2.2.2.v200911250220,"org.eclipse.jpt.ui",1359345612302
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.ui",1359345612302
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.301.v200908131325,"org.eclipse.jst.ejb.ui",1359345612302
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.archives.webtools",1359345612302
